Supplier_name,CSD_Registration_No,pay_num,No_of_orders,order_num,Count_of_institutions_serviced,Director
LANGEBAAN CLEANING SERVICES,MAAA0917222,16845,1,16845,1,RENCONTRE-REINDERS FIONA
Langeberg - WC Local Municipality,MAAA0506418,7480800,9,7480800,9,MOKWENI SOYISILE ANDREAS
LANGLEY'S CATERING AND CLEANING SERVICES,MAAA0036018,10580,1,10580,1,LANGLEY CAROL DESIREE
LANGU ELECTRICAL AND REFRIGERATION,MAAA0061121,2155617.34,1,2155617.34,1,MAEMA CHRISTOPHER
LANGWE FORESTRY AND PROJECTS,MAAA0946777,0.38,3,96400,3,HLONGWA EVA-MARIA KHWEZI
LANQOBA,MAAA0556871,281852,2,281852,2,NDLOVU NQOBILE RONELLE
LANTSHUBASA TRADING ENTERPRISE,MAAA0231203,951385,36,951385,36,SEABELA MOLEKI MOKIE
LAO HOLDINGS,MAAA0625310,8500,1,8500,1,NDOU MPHO
LAOZ GENERAL TRADING,MAAA0069485,0,1,19900,1,BINGWA NOSIPHO MAPULE
LAPA LAKA TRADERS,MAAA0369801,660000,1,660000,1,Thomas LORNA PEARL
LAPENG LA GAE CONSTRUCTION,MAAA0080602,502281,2,502281.1,2,LEBALLO MAPITSO SALAMINAH
LAPISI TRADING,MAAA0153602,69350,1,69350,1,MAPHETO GRACE
LAPISI TRADING,MAAA0153602,69350,1,69350,1,SHONGWE NOMSA RHODA
LASEC SA,MAAA0004575,132274.15,50,62381.81,50,DARLING DELPHINE ANN
LASEC SA,MAAA0004575,132274.15,50,62381.81,50,PADAYACHEE VENIAGUM ARNAJALAM
LASEC SA,MAAA0004575,132274.15,50,62381.81,50,SUBRAMONEY NAVENDRAN
LASER CHEMICALS,MAAA0115864,84008,9,171983,9,ARNOLD ALFRED LLEWELLYN NORMAN
LASER CHEMICALS,MAAA0115864,84008,9,171983,9,ARNOLD SAMANTHA JESSICA
LASER CHEMICALS,MAAA0115864,84008,9,171983,9,WILENSKY GAVIN ANTON
LASHIVAKATI TRADING AND PROJECTS,MAAA0387343,0,1,16734.52,1,GAMA FAKAZILE
LASTMILE TRANSITIONS,MAAA0923742,0,1,1700,1,VAN WYK JOSEPH PETRUS ADRIAAN
LATHI HOLDINGS,MAAA0028709,8750,1,8750,1,BAADJIES NAOMI TRUDY
LATHI HOLDINGS,MAAA0028709,8750,1,8750,1,MOLOI WILLIAM THEMBIKHAYA
LATHIESINAKO SERVICES,MAAA0590479,0,3,8050,3,MBINTA JOY SIYABONGA
LATHITHA CONSTRUCTION AND SERVICES,MAAA0011359,865573.05,2,6816837.54,2,MOHARI ABUENG LUCIA
LATHITHA CONSTRUCTION AND SERVICES,MAAA0011359,865573.05,2,6816837.54,2,MTSHIKWANA PHINDIWE TEMBELA
LATHI-THAA COMMUNITY RADIO STATION,MAAA0706023,345240,13,345240,13,MNYAMANA SIYABUSWA IGNATIUS
LATHOBS CLEANING AND HYGIENE SERVICES,MAAA0785752,230265.88,4,568907.46,4,GWALA XOLISA BATHANDE
LATHOBS CLEANING AND HYGIENE SERVICES,MAAA0785752,230265.88,4,568907.46,4,ZONDI MFUNDWENHLE SANDILE
LATHULA TRANSPORT ROAD MAINTENANCE AND CONSTRUCTION,MAAA0717545,0,4,102200,4,SIBIYA MUZI
LATIS FABRIC WORLD,MAAA1024133,37884,1,37884,1,SELEKA MOLATELO MIDDAH
LATOLOR,MAAA0001918,109998,1,109998,1,MABILETJA FANANG MAMMITJE
LATOLOR,MAAA0001918,109998,1,109998,1,RAMPAUDI JIM MOTSOPI
LAUREN SHANNON TROUT,MAAA0161984,42750,1,42750,1,TROUT LAUREN SHANNON
LAUS DEO TRADING,MAAA0576412,225000,1,225000,1,MASON RIGHEOUS ANOINTED
LAVIKAZI,MAAA0033757,13100,4,13100,4,VILAKAZI LONDEKA POCIA
LAWC GENERAL BUSINESS,MAAA0790382,62100,4,62100,4,SCHEEPERS EVELINE
LAWMAB CONSULTING,MAAA0595562,265000,1,265000,1,MABASO LAWRENCE MDUNGAZI
LAZ - AMANZI,MAAA0269277,11036.25,1,11036.25,1,Manzi LAZISWA
LAZASLORD PROJECTS,MAAA0587083,78946,1,78946,1,MALAZA BONGANE MAXWELL
LAZATECH SERVICES,MAAA0446263,178000,1,178000,1,LAZARUS LEASANDRO
LBAS PROJECTS,MAAA0812664,120900,8,130100,8,NTIMANE BONGINKOSI ALECK
LBMM SOLUTIONS,MAAA0739978,194654,1,194654,1,SHAKU JONATHAN TSHEGOFATSO MAKGOKA
LC CLEANERS,MAAA0014207,19596,1,17040,1,NEMUKONGWE LIVHUWANI CHARLES
LC PALESA PROJECTS  AND SERVICES,MAAA0463641,4950,1,4950,1,BEETHA LESIBA CHRIS
LC PALESA PROJECTS  AND SERVICES,MAAA0463641,4950,1,4950,1,MYATAZA MZAMO
LDT DEVELOPERS,MAAA0905621,45486,1,45486,1,NCHABELENG MANKOPANE MOSES
LDT DEVELOPERS,MAAA0905621,45486,1,45486,1,NCHABELENG MATHULE AMOS
LE BOON SUPPLY,MAAA0031130,2460000,2,2460000,2,SINGH ANITHA DUBARAM
LE GRANGE PRODUCTS AND SERVICES,MAAA0738282,43086.08,2,43086.08,2,LE GRANGE CHRISTO JOHAN
LEABETSWE TRADING,MAAA0093769,408000,1,0,1,LEBODI LEAGISO ELDRIGE
LEADERS MEUBILEERDERS BOLAND,MAAA0027034,0,3,80890,3,HENNIG CORNELIUS VAN ZYL
LE-AFRIQUE HOLDINGS,MAAA0557113,498287.49,1,498287.49,1,ADONIS PHINDILE
LEAFWAY,MAAA0789344,0,1,19020,1,selemela PHETOGO VANESSA
LEAGENG DEVELOPMENT PROJECTS,MAAA0015782,29250,1,29250,1,LETSHELE REFILWE LISBET
LEAGUE OF THE CREATORS,MAAA0905744,357705.6,5,328961.4,5,DA SILVA AYRTON
LEAGUE OF THE CREATORS,MAAA0905744,357705.6,5,328961.4,5,ROSENBERG JOSHUA EDWARD
LEAHO AFRICAN,MAAA0746442,1437500,1,1437500,1,KHAUOE TEBOHO
LEAKOTANDA GENERAL TRADING,MAAA0607863,16757.36,2,16757.36,2,VAN WYK RAYLENE CRYSTLE
LEANDISHELF 35,MAAA0075549,1725,1,1500,1,MPURU LETLALO BENJAMIN
LEANO 87 SOLUTIONS,MAAA0032817,2384150,2,2384152.3,2,MONARENG TSHEPISO
LEANO CONSOTIUM,MAAA0678690,510000,1,510000,1,KOTELO LETSEBE SALEEM
LEANO CONSTRUCTION SOLUTIONS,MAAA0089144,11123965.12,4,11124271.96,4,MALEFANE NEO SIPHIWE
LEANO LA AHA PROJECTS,MAAA0843037,2175150,1,2175150,1,MAHLANGU SEABI AGATHA
LEANO LEGOLO CONSULTING,MAAA0573842,203090,1,203090,1,KEPADISA KGOMOTSO
LEANOFELA CONSTRUCTION,MAAA0702776,195351.66,2,460951.66,2,MOLOANTOA STEPHEN
LEANOSMART,MAAA0620104,0,1,28500,1,MATHEBE ANNA MABU
LEBAFELO TRADING,MAAA0908943,44000,1,44000,1,Bubu BONIWE FRANCES
LEBATO FLOORING AND CONSTRUCTION,MAAA0016569,114798.75,1,114795.75,1,LEGODI MAHADI GLADNESS
LEBATO FLOORING AND CONSTRUCTION,MAAA0016569,114798.75,1,114795.75,1,LEGODI MATSOBANE JOAS
LEBISANG KATLEHONG TRADING,MAAA0433082,0,8,217550,8,NTHETHE MASENTLE THELMA
LEBISANG KATLEHONG TRADING,MAAA0433082,0,8,217550,8,RAMPOPO REPHITHILE
LEBISANG SUPPLIERS,MAAA0139019,3086.7,1,3086.7,1,Schoeman JUDITH MAGDALENA
LEBOGANG TRADING ENTERPRISES,MAAA0149267,88000,2,88000,2,MLOTHA LUCKY RALESEDI
LEBOINA,MAAA0583159,104,1,104,1,RAMMALA MPOLOKENG PATRICIA
LEBOMASH DESIGN,MAAA0776880,12500,1,12500,1,MASHILE LEBOGANG MERIAM
LEBONE HYGIENE SERVICES,MAAA0077712,295795.72,1,295795.72,1,DRYWER PETRUS
LEBONE HYGIENE SERVICES,MAAA0077712,295795.72,1,295795.72,1,DRYWER ROSLYN
LEBONE LITHO PRINTERS,MAAA0009580,213486,6,213486,6,MICHAEL FIERDOUS ZUBEIDA
LEBONE LITHO PRINTERS,MAAA0009580,213486,6,213486,6,MICHAEL KEITH ALFONSO
LEBONETHABO,MAAA0971439,30045,2,30045,2,MAKHADO MAHLODI LISTER
LEBOTSENG TRADING,MAAA0089752,1150090,46,648290,46,tlou ANNAH MORETLO
LEBRAC,MAAA0418637,716000,1,716000,1,LIBAGO MPHO SUZAN
LEBSHIN GENERAL TRADING,MAAA0127337,6828.8,2,6828.8,2,MATATA BELLINA MOLEBOHENG
LEBZA COMMUNICATION CENTER,MAAA0320192,404420,10,4044200,10,BONNANYE OLEBOGENG CALVIN
LECHOBA MEDICAL TECHNOLOGIES,MAAA0038766,12213121.36,57,13045222.45,57,MANGALANA MKATEKO CHARLOTTE
LEDA MEDICAL SERVICES,MAAA0201415,2453787,11,3793274.6,11,BASHKIER David
LEDA MEDICAL SERVICES,MAAA0201415,2453787,11,3793274.6,11,BASHKIER JOHN LESLIE
LEDA MEDICAL SERVICES,MAAA0201415,2453787,11,3793274.6,11,BASHKIER PAUL JEFFREY
LEDLA STRUCTURAL DEVELOPMENT,MAAA0904545,46465115.61,2,49500000,2,LEHONG KGODISHO NORMAN
LEDLA STRUCTURAL DEVELOPMENT,MAAA0904545,46465115.61,2,49500000,2,LEHONG MOLATELO ALBERT
LEDLA STRUCTURAL DEVELOPMENT,MAAA0904545,46465115.61,2,49500000,2,LEHONG RHULANI
LEE TOUCH PROJECTS,MAAA0697225,418000,1,0,1,SELLO ANASTACIA LERATO
LEE TOUCH PROJECTS,MAAA0697225,418000,1,0,1,SIOXE MANUEL THABO
LEE-CAL PROJECTS,MAAA0915928,1408060,1,1408060,1,FRANK SIVESHAN
LEEMASH CATERING SERVICES AND MANAGEMENT EVENT,MAAA0418614,1315000,2,1315000,2,SAPE PALESA IDALINE
LEEMED EVENTS MANAGEMENT,MAAA0489561,0,1,500,1,YAPI NONTSIKELELO
LEEPUMLA TRADING,MAAA0367648,0,1,17600,1,NDLOVU ZANDILE
LEEQUITZ,MAAA0039663,123000,1,123000,1,SELALA NKOANE  CLIMENT
LEFA  M LOGISTICS,MAAA0769007,21230,3,21230,3,MASITENG LEFA JIMMY
LEFES TRADING AND PROJECTS,MAAA0105855,34030.36,2,34030.33,2,MOLEFE SAMUEL
LEFIHLILE SOLUTIONS,MAAA0249170,6900,1,6900,1,MANOKO LEFIHLILE RENEEE MARY-ANN
LEGACY CORPORATE SOLUTIONS,MAAA0718958,46138,1,46138,1,PILLAY KESAVEN
LEGACY CORPORATE SOLUTIONS,MAAA0718958,46138,1,46138,1,PILLAY PERUMAL
LEGACY MARINE,MAAA0026394,15467.5,2,15467.5,2,LUMSDEN CHARLES DOUGLAS
LEGACY MARINE,MAAA0026394,15467.5,2,15467.5,2,WHITAKER CHARLES GRANT ANDREWS
LEGG AND WESSEL,MAAA0133461,690,4,51267,4,FLYNN COLIN STUART
LEGOALE CONSTRUCTION AND PROJECTS,MAAA0045306,36470.4,2,36470.4,2,LEGOALE SETH MOTHEI
LEHAKOE MABOTE CONSULTING SERVICES,MAAA0583000,0,8,29480.59,8,MABOTE ITUMELENG
LEHLABILE DITSALA MECHANIC,MAAA0797880,2896,1,2896,1,BOSHOMANE WILLIE NOKO
LEHLABILE DITSALA MECHANIC,MAAA0797880,2896,1,2896,1,LESETJA KEDIBONE
LEHLABILE DITSALA MECHANIC,MAAA0797880,2896,1,2896,1,MALATSI LESEDI TUMISHANG MPIPI
LEHLABILE DITSALA MECHANIC,MAAA0797880,2896,1,2896,1,MOHLASEDI MMADIBE LAURENTINE
LEHLABILE DITSALA MECHANIC,MAAA0797880,2896,1,2896,1,MOJAPELO IVY KOBELA
LEHLABILE DITSALA MECHANIC,MAAA0797880,2896,1,2896,1,MOKOENA MAKWENA ROSINA
LEHLABILE DITSALA MECHANIC,MAAA0797880,2896,1,2896,1,MOKWATEDI CHUENE TEBOGO
LEHLABILE DITSALA MECHANIC,MAAA0797880,2896,1,2896,1,NKOANA ZENESANI THAPELO
LEHLABILE DITSALA MECHANIC,MAAA0797880,2896,1,2896,1,RAMALAPA MANGENA NORMAN
LEHLABILE DITSALA MECHANIC,MAAA0797880,2896,1,2896,1,SETABOLA Selaelo
LEHUMO DEVELOPMENT HOLDINGS,MAAA0449984,456955.55,3,456955.55,3,MKHABELA ZANDILE PATRICIA
LEHUMO DEVELOPMENT HOLDINGS,MAAA0449984,456955.55,3,456955.55,3,XULU GABISILE PHILISTARS
LEHUMO INDUSTRIES,MAAA0735135,330480,6,1982880,6,MASHELE BHEKIMUZI JOHN
LEHUMO LA BATHO TRADINGS,maaa0734306,269325,2,269325,2,CHENGWE PRICILLA MADITSHWENE
LEHUMO LA BATHO TRADINGS,maaa0734306,269325,2,269325,2,TSUKULU KHUMOETSILE FIRDOSE
LEHUMO LA KHOMOTSO TRADING ENTERPRISE,MAAA0887806,136580,2,136580,2,MALATJI THABO WELLBELOVED
LEHUMO TECHNOLOGIES,MAAA0337182,555000,2,555000,2,MAKWELA LETHABO MICHELL
LEHUMO TECHNOLOGIES,MAAA0337182,555000,2,555000,2,THOBEJANE KETAKERE MOGAU
LEILAAS ELECTRICAL AND BUILDING DISTRIBUTORS,MAAA0034117,236399.35,27,238132.1,27,Job Shariefa
LE-IPS SUPPLY AND PROJECTS,MAAA0088179,39950,1,39950,1,SEKEPERE ITUMELENG ELIAS
LEJAN DISTRIBUTORS AND SUPPLIES,MAAA0009358,19925,1,19925,1,ABRAHAMS CAROLINE FRANCIS
LEJAN DISTRIBUTORS AND SUPPLIES,MAAA0009358,19925,1,19925,1,VOLKWYN LEANDRE CAROL-ANN
LEJO MEDICALS AND PROJECTS,MAAA0841858,320000,2,0,2,RIKHOTSO JOSAIAH YUZER
LEK LUCA MANUFACTURERS AND PROJECTS,MAAA0164365,9600,1,9600,1,NKADIMENG LEKOKO LUCAS
LEKEPA PROJECTS,MAAA0877663,345661.2,4,350696.2,4,LEDWABA RACHEL RAESETJA
LEKGANTSHA TRADING ENTERPRISE,MAAA0057719,81658.75,1,520,1,MAHEYA CHUENE THABITHA
LEKGANTSHA TRADING ENTERPRISE,MAAA0057719,81658.75,1,520,1,MASHIANE MACHOENE MARTIN
LEKGANTSHA TRADING ENTERPRISE,MAAA0057719,81658.75,1,520,1,MASHIANE MAKGABO CUTHBERT
LEKGANTSHA TRADING ENTERPRISE,MAAA0057719,81658.75,1,520,1,MASHIANE MAPHUTI CHRISTOPHER
LEKGANTSHA TRADING ENTERPRISE,MAAA0057719,81658.75,1,520,1,MASHIANE TLOU EDWINA
LEKGEMAKGADI,MAAA0812675,915900,4,915900,4,MOREKU KARABO PORTIA
LEKKERGOED BOORKONTRAKTEURS,MAAA0849828,280000,2,280000,2,VENTER PIETER HERMANUS HENDRIK
LEKOA RESOURCES,MAAA0535961,278693,23,278693,23,THOBEJANE MOLEBOGENG DEBORAH
LEKOLE M BUSINESS SOLUTIONS,MAAA0159235,108600,1,108600,1,MABOKELA LEBOGANG EULANDA
LEKONI GROUP,MAAA0815865,5347.5,3,5347.5,3,MOROPENE THOMAS
LEKOPO LE BAKGALAKA SON,MAAA0319798,6430000,23,6430000,23,MOTHAPO LEKOPO AUGUNSTANTIA
LELANGUKA TRADING,MAAA0201715,6058648.5,7,5577010,7,NGCIBI ZAMANGWANE BUSISIWE
LELE AND TSHIDI CONSTRUCTION AND PLANT HIRE,MAAA0201450,0,1,196650,1,MOKODUTLO CASWELL MOKODUTLO
LELETHU BAFAZI PRIMARY CO-OPERATIVE LIMITED,MAAA0756699,16650,1,16650,1,DONDOLO NOMASOMI GOLDIE
LELETHU BAFAZI PRIMARY CO-OPERATIVE LIMITED,MAAA0756699,16650,1,16650,1,JACK LINDA ANN
LELETHU BAFAZI PRIMARY CO-OPERATIVE LIMITED,MAAA0756699,16650,1,16650,1,MADIKI PHATHISWA GLENDA
LELETHU BAFAZI PRIMARY CO-OPERATIVE LIMITED,MAAA0756699,16650,1,16650,1,MDINGI PHELIWE
LELETHU BAFAZI PRIMARY CO-OPERATIVE LIMITED,MAAA0756699,16650,1,16650,1,MPONGOZA NOSISI LYDIA
LELETHU BAFAZI PRIMARY CO-OPERATIVE LIMITED,MAAA0756699,16650,1,16650,1,NHOSE THANDISWA VERONICA
LELETHU BAFAZI PRIMARY CO-OPERATIVE LIMITED,MAAA0756699,16650,1,16650,1,NORANGA NOKUTHULA
LELETHU BAFAZI PRIMARY CO-OPERATIVE LIMITED,MAAA0756699,16650,1,16650,1,SIWA NOBUZWE JULIA
LELONA MOBILITY ENTERPRISE,MAAA0659015,0,1,0,1,NGCEBETSHA LINDA
LEMANG ENTERPRISE,MAAA0870345,23871,1,23871,1,MOHLALA MAKGOTSO MOREMADI
LEMBA TRADING ENTERPRISE,MAAA0575022,560000,2,560000,2,RAMBAU GERSON MPHUMUDZENI
LEMBELELE TRADING,MAAA0319444,455,1,455,1,MATHEBULA NKHENSANI PROMISE
LEMBELELE TRADING,MAAA0319444,455,1,455,1,MTSWENI VELAPHI LUCKY
LEMOSON TRADING,MAAA0021316,0,1,0,1,MBUYAZI KHETHIWE KHETHOKUHLE
LEMP PHARMACEUTICALS AND INVESTMENTS,MAAA0003351,0,3,48070,3,SEMENYA BASIDUMEDI BENJAMIN BRUCE
LEMP PHARMACEUTICALS AND INVESTMENTS,MAAA0003351,0,3,48070,3,SEMENYA JOYCE BETTY
LEMU GROUP,MAAA0631967,2263478.3,31,2430501.9,31,MOLEKO EMILY
LEMU GROUP,MAAA0631967,2263478.3,31,2430501.9,31,MUKWEVHO LEBOGANG ENNIE
LENAHGIRLIE TRADING,MAAA0393157,5100,1,5100,1,LETSELE DIKELEDI LENAH GIRLY
LENAMILE CONSTRUCTION AND PROJECTS,MAAA0178066,159290,1,159290,1,POOE KABELO MOKONE
LENAMILE CONSTRUCTION AND PROJECTS,MAAA0178066,159290,1,159290,1,SELLO MOKGAOLAKGANG EDISON
LENASI TRADING AND PROJECTS,MAAA0545535,991875,1,991875,1,NKHATHO DIMAKATSO GRACE
LENASI TRADING AND PROJECTS,MAAA0545535,991875,1,991875,1,SEKONOPO ANTHONIA LESEGO
LENKA TLHOOLO,MAAA0119598,201245.97,3,241992.02,3,MAQOLO SIYANDA
LENKA TLHOOLO,MAAA0119598,201245.97,3,241992.02,3,NTHUNYA TOKA MANOSA
LENKABETSE ENTERPRISE AND PROJECTS,MAAA0659012,73780,1,73780,1,RIET KEAMOGETSE VICTORIA
LENKWANE GROUP,MAAA0284884,176250,1,176250,1,MABESELE TLADI TREVOR JOHANNES
LENNIEOMPHI PROJECTS,MAAA0385091,15995,1,15995,1,MONTOEDI SELLO MARTIN
LENNIEOMPHI PROJECTS,MAAA0385091,15995,1,15995,1,SEHOLE LENNIE GOSEKWANG
LENONG GENERAL PROJECTS,MAAA0675586,72200,11,350920,11,MTHEMBU JOSEPH MALAKE
LENONG GENERAL PROJECTS,MAAA0675586,72200,11,350920,11,RADEBE PETROS SIPHO
LENTLE TRADING,MAAA0061612,0,1,9500,1,THOBEJANE LENTLE MARTIN
LENYAKI,MAAA0275612,129316,8,80000,8,KHABELE PALESA GEANETTE
LENYAKI,MAAA0275612,129316,8,80000,8,MORUTI THABO JOHANNES
LENYTRONICS,MAAA0787289,7900,2,20400,2,MATHEBULA DUMISANI VINCENT
LEOMAT JJS JV,MAAA0799544,53400000,2,121920872.15,2,CORBELLA ARNALDO
LEOMAT JJS JV,MAAA0799544,53400000,2,121920872.15,2,CORBELLA STEFANO
LEONI KNOESEN,MAAA0816998,6325,3,6325,3,KNOESEN LEONI
LEONNY TRADING AND PROJECTS,MAAA0021299,0,1,0,1,MAHLANGU ELIZABETH NTHANANA
LEONNY TRADING AND PROJECTS,MAAA0021299,0,1,0,1,MASHAO MATSHOGA JOHANNES
LEOPARD ROCK OFFICE SUPPLIES,MAAA0031901,58578.85,5,58582.6,5,GOVENDER RADHA
LEOTOLAKA TRADING AND PROJECTS,MAAA0873986,39300,2,39300,2,RAMAPOKO PHETOLE EMMANUEL
LEOVSA,MAAA0690134,2279782.9,151,136608,151,ASVOEL JASMEEN
LEPARA HOLDINGS,MAAA0450136,76447.5,1,76447.5,1,MOTSEENG LETLHOGONOLO DONALD
LEPEKE MEDICAL SUPPLIERS,MAAA0289792,0,1,1000000,1,MOGASHOA LEPEKE ERNEST
LEPG EXPRESS,MAAA1006881,40050,1,40050,1,MAKABANYANE TUMISANG METWEWS
LEPG EXPRESS,MAAA1006881,40050,1,40050,1,MOTSHABI KEALEBOGA WELLINGTON
LEPHADIMO HYGIENE SOLUTIONS,MAAA0721579,26105,1,26105,1,DUBE GLEDINA RETHABILE
LEPHADIMO HYGIENE SOLUTIONS,MAAA0721579,26105,1,26105,1,MASHISHI SEEMOLA SINAH
LEPRO CORPORATION,MAAA0073024,8735.49,4,8735.49,4,NDLOVU LIZWE ENCHO
LEPRO CORPORATION,MAAA0073024,8735.49,4,8735.49,4,NDLOVU SIPHOKUHLE SYMPHATHY
LERA M TRADING SOLUTIONS,MAAA0573928,0,1,13365,1,MOILOA LERATO
LERA MOTIKI PROJECTS,MAAA0571515,9096,7,9096,7,LERATA BARNARD MOEKETSI
LERATO AND MOLOKO EVENT MANAGEMENT,MAAA0157902,520000,1,520000,1,MACHABA LERATO
LERATO AND MOLOKO EVENT MANAGEMENT,MAAA0157902,520000,1,520000,1,MAILA SEHLORA JUSTICE
LERATOOGAPILE GENERAL SUPPLIERS,MAAA0008923,220800,1,220800,1,MOGAPAESI LERATO
LERATOOGAPILE GENERAL SUPPLIERS,MAAA0008923,220800,1,220800,1,MOGAPAESI MOGAPI COLLEN
LERATOW TRADING AND PROJECTS,MAAA0793244,671701.2,4,671701.2,4,PHIHLELA LERATO IRENE
LERC FOGGING,MAAA0947559,82090,13,82090,13,FASS LIAM ROBERTO
LERONTI-SBU PROJECT AND GENERAL TRADING,MAAA0006836,415680,1,415680,1,MASAKALA NIKI ANGNES
LERONTI-SBU PROJECT AND GENERAL TRADING,MAAA0006836,415680,1,415680,1,SEBUSI KOPANO FRANCIS
LERONTI-SBU PROJECT AND GENERAL TRADING,MAAA0006836,415680,1,415680,1,ZAPEZA NOMASONDO SOPHIA
LEROY MEDICAL SUPPLIE,MAAA0689948,0,4,0,4,NGCAMU ZUZUMUSA FORTUNATE
LERWANA PEST CONTROL AND HYGIENE,MAAA0337941,0,2,0,2,TWABILE MASEGO
LES AND SONS,MAAA0077580,0,4,0,4,MMUSI LESEGO DAPHNEY
LESANGKGANG HOLDINGS,MAAA0468823,27000,2,27000,2,MASIBI LESANKGANG JOSIAH
LESAPHO CONSTRUCTION AND SUPPLY,MAAA0115908,19200,1,19200,1,PHOFFU TSHEPO CORNELIUS
LESE TRADING AND PROJECTS,MAAA0096016,123120,10,123120,10,MOLEMA BONE TRICIA
LESEDI PRECIOUS STONES,MAAA0909472,774000,1,774000,1,BAISITSE LESEDI IGNATIUS
LESEDI TECHNICAL ENGINEERING CONSULTING,MAAA0003907,77100625,2,77100625,2,LENTOTWANE SEIPELO VUYOKAZI MANTOMBI
LESEDI TECHNICAL ENGINEERING CONSULTING,MAAA0003907,77100625,2,77100625,2,MAJOLA THULANI MAKHOSI
LESEDI TECHNICAL ENGINEERING CONSULTING,MAAA0003907,77100625,2,77100625,2,RANGQA SIVUYILE
LESEDI TECHNICAL ENGINEERING CONSULTING,MAAA0003907,77100625,2,77100625,2,THABETHE GABANGANI IMMANUEL
LESEDI TSHOLOFELO GENERAL TRADING,MAAA0815624,14720,4,14720,4,MIYOBA NOEL TEBOGO
LESEDI TSHOLOFELO GENERAL TRADING,MAAA0815624,14720,4,14720,4,MIYOBA NONTOAZIFANE EUNICE
LESEDING EMPIRE GROUP,MAAA0918398,707400,1,1280000,1,MATHIBELI MOJALEFA CALVIN
LESEGO LA BOKAMOSO PROJECTS AND ENTERPRISES,MAAA0419698,0,2,326250,2,HUME SYDNEY SENAGO
LESEGO RATO LEGACY,MAAA0401799,1374022,11,1374022,11,MAKWELA LERATO PRIMODHIN
LESEKA TECHGUARD,MAAA0026788,16100,1,16100,1,SEMENYA LESEGO ORIA
LESEKA TECHGUARD,MAAA0026788,16100,1,16100,1,SEMENYA OREPA TEBOGO
LESEM TRADING ENTERPRISE,MAAA0709227,24381.5,4,24381.5,4,MALUNGA BRENDA THOBILE
LESEM TRADING ENTERPRISE,MAAA0709227,24381.5,4,24381.5,4,MYENI HELEN ZANDILE
LESEMOABI INDUSTRIES,MAAA0719748,43944,1,43943.5,1,MAHLATSI TSWAKAE ORIEL
LESENYEHO BUILDERS & DAVO'S CLEANING AND SAFETY J/V,MAAA0198636,0,1,8744574.79,1,LESENYEHO NTSWAKI ALETTA
LESENYEHO BUILDERS & DAVO'S CLEANING AND SAFETY J/V,MAAA0198636,0,1,8744574.79,1,LESENYEHO NYATSO JAN
LESENYEHO BUILDERS & DAVO'S CLEANING AND SAFETY J/V,MAAA0198636,0,1,8744574.79,1,LESENYEO THABISO RICHARD
LESETJA AND DAD HOLDINGS,MAAA0572291,49800,1,49800,1,MORODI JERRIE PINAAR
LESHABANE STEEL FABRICATION,MAAA0163943,112500,1,112500,1,MAKOFANE CABRI
LESHABANE STEEL FABRICATION,MAAA0163943,112500,1,112500,1,MAKOFANE TOKOLOGO FREEDOM MAY
LESHAM MANAGEMENT AND SERVICES,MAAA0565609,11184.48,5,9113.28,5,RASEKANYA MACK MALEFOKANA
LESIBANA CLEANING AND HYGIENE,MAAA0481939,147930,3,147930,3,BALOI KEDIBONE GERTRUDE
LESICHUBEKAKO PROJECTS,MAAA0625100,7000,1,7000,1,MASHAAKGOMO KHOMOTJO EMMANUELA
LESICHUBEKAKO PROJECTS,MAAA0625100,7000,1,7000,1,SMITH MUSA MAXWELL
LESLIE DYASON,MAAA1009436,644292.1,2,0,2,Dyason LESLIE
LESOLE FACILITIES MANAGEMENT,MAAA0413096,1274700,2,1274700,2,NGUMBELA SINOVUYO
LESOLGA TRADING,MAAA0167427,88000,1,496000,1,SIFUNDA MARIYA LUNGILE
LETAGO CONSTRUCTION AND PROJECTS,MAAA0889956,10500,1,0,1,MASHEGO MATSAKO ELVIS
LETEKA CONSULTING,MAAA0564435,222900,1,222900,1,LETEKA DIPHAPANG
LETHABO LA HLOLO HOLDINGS,MAAA0106481,58500,1,58500,1,SEALE LEBOGANG
LETHABONG STATIONERY AND SCHOOL SUPPLIES,MAAA0577754,8572.16,3,13459.66,3,KADIR SHIRAZ
LETHAKELE TRADING AND PROJECTS,MAAA0076710,124000,1,124000,1,BOPAPE MADIMETSA CHRISTOPHER
LETHAKIMI TRADING AND PROJECTS,MAAA0038339,0,1,22840,1,RAMAPHOKO RAPHAEL MALUSE
LETHAKONKE TRADING ENTERPRISE,MAAA0412399,32281,2,122956,2,MNCUBE NDUMISO
LETHINDUMISO ENTERPRISE,MAAA0324492,124100,5,124100,5,MLAMBO S'PHIWE ZIBUYILE
LETHISIDINGO CLEANING AND PROJECTS CO-OPERATIVE LIMITED,MAAA0694473,0,1,84480,1,MASANGO JABULANE LOLLINS
LETHISIDINGO CLEANING AND PROJECTS CO-OPERATIVE LIMITED,MAAA0694473,0,1,84480,1,MODIBA MPUMELELOWHITNEY
LETHISIDINGO CLEANING AND PROJECTS CO-OPERATIVE LIMITED,MAAA0694473,0,1,84480,1,MSOMI PULE
LETHISIDINGO CLEANING AND PROJECTS CO-OPERATIVE LIMITED,MAAA0694473,0,1,84480,1,SINQABA NOSIPHO
